214.63,208.57,205.54,223.71,147.99,117.7,123.75,129.81,114.67
208.57,186.76,183.12,266.72,183.12,114.06,172.22,135.87,103.16
190.39,201.3,183.12,226.74,219.47,164.95,114.06,114.06,143.14
106.79,135.87,183.12,179.49,103.16,95.888,88.619,175.85,95.888
164.95,128.6,146.78,154.05,215.84,201.3,64.992,212.2,110.43
95.888,70.445,110.43,128.6,88.619,95.888,64.992,124.97,70.445
70.445,172.22,84.984,63.175,106.79,183.12,172.22,139.51,99.523
132.24,66.81,63.175,81.349,92.253,84.984,77.714,84.984,135.87
186.76,54.088,150.41,88.619,74.079,95.888,70.445,143.14,172.22
52.271,63.175,57.723,88.619,215.84,201.3,99.523,69.233,66.81
