0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,187.78,165.56,148.18,130,155.98,143.33,0,0,0,0,0
0,0,0,0,204.26,205.13,198.51,187.27,181.18,182.34,0,0,0,0,0
0,0,0,0,219.47,220.5,221.6,227.78,215.11,211.08,0,0,0,0,0
0,0,0,0,240.67,247.24,256.95,254.14,280,260,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
