0,0,0,0,0,0,0,0,0,0,254.63,260.86,267.08,273.31,0
0,0,0,0,0,0,0,148.81,155.03,161.26,279.53,217.28,211.06,229.73,235.96
0,0,0,0,0,111.46,130.13,142.58,36.76,136.36,273.31,161.26,223.51,279.53,0
0,0,0,136.36,117.68,148.81,61.66,74.11,161.26,254.63,260.86,211.06,217.28,285.76,0
0,0,279.53,229.73,161.26,148.81,273.31,285.76,291.99,173.71,279.53,304.44,323.11,335.56,0
0,179.93,248.41,211.06,198.61,86.56,111.46,344.9,92.785,267.08,273.31,298.21,316.88,0,0
304.44,329.33,279.53,248.41,285.76,291.99,285.76,242.18,335.56,335.56,348.01,354.24,0,0,0
0,329.33,173.71,310.66,341.78,273.31,142.58,161.26,217.28,285.76,341.78,0,0,0,0
0,235.96,341.78,348.01,316.88,298.21,310.66,323.11,310.66,223.51,329.33,348.01,0,0,0
148.81,341.78,223.51,298.21,329.33,291.99,335.56,211.06,161.26,285.76,310.66,0,0,0,0
354.24,348.01,335.56,298.21,86.56,111.46,285.76,273.31,341.78,0,0,0,0,0,0
0,360.46,354.24,348.01,285.76,254.63,291.99,0,0,0,0,0,0,0,0
0,0,360.46,366.69,0,0,0,0,0,0,0,0,0,0,0
